Key,block1Title,previewText,logo,logoUrl,headlineImg,headlineMobImg,topModText,heroImg,heroMobImg,heroAltText,heroUrl,headerCopy11,headerCopy12,cta1Url,cta1Text,mod1DesktopImg,mod1DesktopText,mod1MobileImg,mod1MobileText,mod1DesktopImgUrl,mod1Imgalttext,mod2DesktopImg,mod2DesktopText,mod2MobileImg,mod2MobileText,mod2ImgUrl,mod2ImgAltText,mod3DesktopImg,mod3DesktopText,mod3MobileImg,mod3MobileText,mod3ImgUrl,mod3ImgAltText,headlineImage2Desktop,headlineImage2Mobile,Headlinetext2,heroImage2Desktop,heroImage2Mobile,heroImage2Url,heroImage2AltText,headerCopy3,headerCopy4,headerCopy5,cta2copy,cta2Url,cta3copy,cta3Url,cta4copy,cta4Url
-30,Semana 10: ¿Ya comenzaste a practicar las nanas?,Ve lo que pasa en tu embarazo esta semana…,,https://www.dodot.es/?utm_source=newsletter_babyeducation&utm_medium=email&utm_campaign=trigger_babyeducation_week-10&utm_content=header_logo,be-title-pre-week-10-es.jpg,be-title-pre-week-10-es-mob.jpg,,be-hero-pre-week-10-cae.jpg,be-hero-pre-week-10-cae-mob.jpg,En tan solo unos meses conocerá a su cantante favorita,https://www.dodot.es/embarazo/calendario-del-embarazo/embarazada-de-10-semanas?utm_source=newsletter_babyeducation&utm_medium=email&utm_campaign=trigger_babyeducation_week-10&utm_content=maincta _maincta,Ahora mismo las orejas de tu bebé se están preparando para escuchar sus primeros sonidos.,"Pronto va a comenzar a escuchar las canciones de cuna. ¿Qué más está pasando allí? Desde los párpados hasta el brote de los dientes, la semana 10 está llena de momentos emocionantes.",https://www.dodot.es/embarazo/calendario-del-embarazo/embarazada-de-10-semanas?utm_source=newsletter_babyeducation&utm_medium=email&utm_campaign=trigger_babyeducation_week-10&utm_content=maincta _maincta,Ve qué más está pasando esta semana,be-post-week-10-es.jpg,,be-post-week-10-es-mob.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-29,,,,https://www.dodot.es/?utm_source=newsletter_babyeducation&utm_medium=email&utm_campaign=trigger_babyeducation_week-10&utm_content=header_logo,be-title-pre-week-11-es.jpg,be-title-pre-week-11-es-mob.jpg,,be-hero-pre-week-11-cae.jpg,be-hero-pre-week-11-cae-mob.jpg,,,,,,,be-post-week-11-es.jpg,,be-post-week-11-es-mob.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-28,Semana 12: Te encantará todo lo que esta semana significa,Ve lo que pasa en tu embarazo esta semana…,,https://www.dodot.es/?utm_source=newsletter_babyeducation&utm_medium=email&utm_campaign=trigger_babyeducation_week-12&utm_content=header_logo,be-title-pre-week-12-es.jpg,be-title-pre-week-12-es-mob.jpg,de la cabeza a los pies… y ahora es oficial,Week_12_hero-es.jpg,Week_12_hero-es-mob.jpg,Siempre vas a quererlos de la cabeza a los pies… y ahora es oficial,https://www.dodot.es/embarazo/calendario-del-embarazo/embarazada-de-12-semanas?utm_source=newsletter_babyeducation&utm_medium=email&utm_campaign=trigger_babyeducation_week-12&utm_content=maincta _maincta,Esta semana todas las pequeñitas partes de su cuerpecito están listas — ¡imagínate ver sus piecitos!,"Desde los deditos de sus pies hasta los deditos de sus manos, la semana 12 significa toneladas de desarrollo para tu bebé.",https://www.dodot.es/embarazo/calendario-del-embarazo/embarazada-de-12-semanas?utm_source=newsletter_babyeducation&utm_medium=email&utm_campaign=trigger_babyeducation_week-12&utm_content=maincta _maincta,Ve qué más está pasando esta semana,be-post-week-12-es.jpg,,be-post-week-12-es-mob.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-27,Semana 13: De momento esta es la semana más activa de tu bebé,Ve lo que pasa en tu embarazo esta semana…,,https://www.dodot.es/?utm_source=newsletter_babyeducation&utm_medium=email&utm_campaign=trigger_babyeducation_week-13&utm_content=header_logo,be-title-pre-week-13-es.jpg,be-title-pre-week-13-es-mob.jpg,está trabajando para ser pronto un incansable pequeño,Week_13_hero-es.jpg,Week_13_hero-es-mob.jpg,"El ocupado cuerpecito de tu bebé, está trabajando para ser pronto un incansable pequeño",https://www.dodot.es/embarazo/calendario-del-embarazo/embarazada-de-13-semanas?utm_source=newsletter_babyeducation&utm_medium=email&utm_campaign=trigger_babyeducation_week-13&utm_content=maincta _maincta,Esta semana muchos de los órganos más importantes de tu bebé están listos para trabajar.,"Un diminuto hígado, páncreas, riñones y otras grandes noticias desde tu tripa.",https://www.dodot.es/embarazo/calendario-del-embarazo/embarazada-de-13-semanas?utm_source=newsletter_babyeducation&utm_medium=email&utm_campaign=trigger_babyeducation_week-13&utm_content=maincta _maincta,Ve qué más está pasando esta semana,be-post-week-13-es.jpg,,be-post-week-13-es-mob.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-26,Semana 14: Nunca es tarde para aprender canciones de cuna,Ve lo que pasa en tu embarazo esta semana…,,https://www.dodot.es/?utm_source=newsletter_babyeducation&utm_medium=email&utm_campaign=trigger_babyeducation_week-14&utm_content=header_logo,be-title-pre-week-14-es.jpg,be-title-pre-week-14-es-mob.jpg,,be-hero-pre-week-14-cae.jpg,be-hero-pre-week-14-cae-mob.jpg,Pronto estaréis haciendo duetos de arrullos,https://www.dodot.es/embarazo/calendario-del-embarazo/embarazada-de-14-semanas?utm_source=newsletter_babyeducation&utm_medium=email&utm_campaign=trigger_babyeducation_week-14&utm_content=maincta _maincta,Ahora mismo la voz de tu bebé está preparándose para su gran debut.,"La boca, el esófago, la tráquea, la laringe y las cuerdas vocales, todo está ya casi en su sitio. ¡Esta es una gran semana para tu peque!",https://www.dodot.es/embarazo/calendario-del-embarazo/embarazada-de-14-semanas?utm_source=newsletter_babyeducation&utm_medium=email&utm_campaign=trigger_babyeducation_week-14&utm_content=maincta _maincta,Ve qué más está pasando esta semana,be-post-week-14-es.jpg,,be-post-week-14-es-mob.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-25,Semana 15: ¿Tendrá el pelo de mamá o de papá?,Ve lo que pasa en tu embarazo esta semana…,,https://www.dodot.es/?utm_source=newsletter_babyeducation&utm_medium=email&utm_campaign=trigger_babyeducation_week-15&utm_content=header_logo,be-title-pre-week-15-es.jpg,be-title-pre-week-15-es-mob.jpg,no se ven en un ultrasonido,be-hero-pre-week-15-cae.jpg,be-hero-pre-week-15-cae-mob.jpg,Los detalles más adorables no se ven en un ultrasonido,https://www.dodot.es/embarazo/calendario-del-embarazo/embarazada-de-15-semanas?utm_source=newsletter_babyeducation&utm_medium=email&utm_campaign=trigger_babyeducation_week-15&utm_content=maincta _maincta,¿Puedes creer que los folículos del cuero cabelludo de tu bebé están desarrollando su patrón de por vida?,"Ya sea oscuro y rizado, o rubio y ondulado, sabes que vas a amar cada mechón de su pelo. Esta semana tu bebé tendrá esa delgada capa de vello que protege su cuerpo, llamada lanugo — aunque será solo temporal.",https://www.dodot.es/embarazo/calendario-del-embarazo/embarazada-de-15-semanas?utm_source=newsletter_babyeducation&utm_medium=email&utm_campaign=trigger_babyeducation_week-15&utm_content=maincta _maincta,Ve qué más está pasando esta semana,be-post-week-15-es.jpg,,be-post-week-15-es-mob.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-24,Semana 16: No eres la única que trabaja esta semana,Ve lo que pasa en tu embarazo esta semana…,,https://www.dodot.es/?utm_source=newsletter_babyeducation&utm_medium=email&utm_campaign=trigger_babyeducation_week-16&utm_content=header_logo,be-title-pre-week-16-es.jpg,be-title-pre-week-16-es-mob.jpg,es todavía un bebé en entrenamiento,Week_16_hero-es.jpg,Week_16_hero-es-mob.jpg,"Cuando tu futuro ""pequeño incansable"" es todavía un bebé en entrenamiento",https://www.dodot.es/embarazo/calendario-del-embarazo/embarazada-de-16-semanas?utm_source=newsletter_babyeducation&utm_medium=email&utm_campaign=trigger_babyeducation_week-16&utm_content=maincta _maincta,¡Esta semana los músculos de tu bebé se están ejercitando bastante!,"Mientras te entrenas para ser mamá, tu peque sigue fortaleciendo su cabeza y cuello, y flexionando su bracitos y piernas.",https://www.dodot.es/embarazo/calendario-del-embarazo/embarazada-de-16-semanas?utm_source=newsletter_babyeducation&utm_medium=email&utm_campaign=trigger_babyeducation_week-16&utm_content=maincta _maincta,Ve qué más está pasando esta semana,be-post-week-16-es.jpg,,be-post-week-16-es-mob.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-23,Semana 17: La grasita del bebé no es solo para que se vea más tierno,Ve lo que pasa en tu embarazo esta semana…,,https://www.dodot.es/?utm_source=newsletter_babyeducation&utm_medium=email&utm_campaign=trigger_babyeducation_week-17&utm_content=header_logo,be-title-pre-week-17-es.jpg,be-title-pre-week-17-es-mob.jpg,,be-hero-pre-week-17-cae.jpg,be-hero-pre-week-17-cae-mob.jpg,¡Prepárate para acariciar esos mofletes regordetes!,https://www.dodot.es/embarazo/calendario-del-embarazo/embarazada-de-17-semanas?utm_source=newsletter_babyeducation&utm_medium=email&utm_campaign=trigger_babyeducation_week-17&utm_content=maincta _maincta,¡Esta semana tu bebé está adquiriendo unas cuantas almohadillas de grasa!,Aumentar su grasa corporal le ayudará a tener energía extra y a mantener su calor corporal. Así que durante la semana 17 el crecimiento de tu bebé será importante y bastante rápido.,https://www.dodot.es/embarazo/calendario-del-embarazo/embarazada-de-17-semanas?utm_source=newsletter_babyeducation&utm_medium=email&utm_campaign=trigger_babyeducation_week-17&utm_content=maincta _maincta,Ve qué más está pasando esta semana,be-post-week-17-es.jpg,,be-post-week-17-es-mob.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-22,Semana 18: Diminutas curvas y remolinos… ¡son huellas dactilares!,Ve lo que pasa en tu embarazo esta semana…,,https://www.dodot.es/?utm_source=newsletter_babyeducation&utm_medium=email&utm_campaign=trigger_babyeducation_week-18&utm_content=header_logo,be-title-pre-week-18-es.jpg,be-title-pre-week-18-es-mob.jpg,,be-hero-pre-week-18-cae.jpg,be-hero-pre-week-18-cae-mob.jpg,Tu peque es ahora único en su especie,https://www.dodot.es/embarazo/calendario-del-embarazo/embarazada-de-18-semanas?utm_source=newsletter_babyeducation&utm_medium=email&utm_campaign=trigger_babyeducation_week-18&utm_content=maincta _maincta,"Ahora mismo tu bebé está formando sus huellas dactilares, 100% personalizadas.","Esta semana unas almohaditas de grasa en los deditos de sus manos y pies se están transformando en esas huellas tan únicas, que solo tu bebé tendrá.",https://www.dodot.es/embarazo/calendario-del-embarazo/embarazada-de-18-semanas?utm_source=newsletter_babyeducation&utm_medium=email&utm_campaign=trigger_babyeducation_week-18&utm_content=maincta _maincta,Ve qué más está pasando esta semana,be-post-week-18-es.jpg,,be-post-week-18-es-mob.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-21,,,,https://www.dodot.es/?utm_source=newsletter_babyeducation&utm_medium=email&utm_campaign=trigger_babyeducation_week-10&utm_content=header_logo,be-title-pre-week-19-es.jpg,be-title-pre-week-19-es-mob.jpg,,be-hero-pre-week-19-cae.jpg,be-hero-pre-week-19-cae-mob.jpg,,,,,,,be-post-week-19-es.jpg,,be-post-week-19-es-mob.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-20,Semana 20: ¡Qué comience la cuenta regresiva para el primer beso esquimal!,Ve lo que pasa en tu embarazo esta semana…,,https://www.dodot.es/?utm_source=newsletter_babyeducation&utm_medium=email&utm_campaign=trigger_babyeducation_week-20&utm_content=header_logo,be-title-pre-week-20-es.jpg,be-title-pre-week-20-es-mob.jpg,para el primer beso esquimal,Week_20_hero-es.jpg,Week_20_hero-es-mob.jpg,Su naricita está preparándose para el primer besito esquimal,https://www.dodot.es/embarazo/calendario-del-embarazo/embarazada-de-20-semanas?utm_source=newsletter_babyeducation&utm_medium=email&utm_campaign=trigger_babyeducation_week-20&utm_content=maincta _maincta,"Esta semana, la nariz de tu bebé empieza a tomar forma.","La semana 20 trae grandes momentos para tu bebé, desde el desarrollo de los centros nerviosos hasta sus primeros ataques de hipo (si pones atención es posible que los sientas).",https://www.dodot.es/embarazo/calendario-del-embarazo/embarazada-de-20-semanas?utm_source=newsletter_babyeducation&utm_medium=email&utm_campaign=trigger_babyeducation_week-20&utm_content=maincta _maincta,Ve qué más está pasando esta semana,be-post-week-20-es.jpg,,be-post-week-20-es-mob.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-19,"Semana 21: El más tierno ""pum"" que has oído en la vida",Ve lo que pasa en tu embarazo esta semana…,,https://www.dodot.es/?utm_source=newsletter_babyeducation&utm_medium=email&utm_campaign=trigger_babyeducation_week-21&utm_content=header_logo,be-title-pre-week-21-es.jpg,be-title-pre-week-21-es-mob.jpg,,be-hero-pre-week-21-cae.jpg,be-hero-pre-week-21-cae-mob.jpg,"Pum, pum, pum, pum, pum, pum, pum",https://www.dodot.es/embarazo/calendario-del-embarazo/embarazada-de-21-semanas?utm_source=newsletter_babyeducation&utm_medium=email&utm_campaign=trigger_babyeducation_week-21&utm_content=maincta _maincta,¡Alto y claro! Tu familia tiene un nuevo ritmo que seguir.,"El corazón de tu bebé hace pum, pum, pum a un ritmo entre 120 y 160 latidos por minuto (¡el doble de la velocidad de tu propio corazón!). Su latido es tan fuerte que se puede escuchar con un simple estetoscopio.",https://www.dodot.es/embarazo/calendario-del-embarazo/embarazada-de-21-semanas?utm_source=newsletter_babyeducation&utm_medium=email&utm_campaign=trigger_babyeducation_week-21&utm_content=maincta _maincta,Ve qué más está pasando esta semana,be-post-week-21-es.jpg,,be-post-week-21-es-mob.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-18,Semana 22: Imagínate lo lindo que será jugar a cucú juntos…,Ve lo que pasa en tu embarazo esta semana…,,https://www.dodot.es/?utm_source=newsletter_babyeducation&utm_medium=email&utm_campaign=trigger_babyeducation_week-22&utm_content=header_logo,be-title-pre-week-22-es.jpg,be-title-pre-week-22-es-mob.jpg,de cada mirada,Week_22_hero-es.jpg,Week_22_hero-es-mob.jpg,Muy pronto estarás enamorándote de cada mirada,https://www.dodot.es/embarazo/calendario-del-embarazo/embarazada-de-22-semanas?utm_source=newsletter_babyeducation&utm_medium=email&utm_campaign=trigger_babyeducation_week-22&utm_content=maincta _maincta,Esta semana dos de los rasgos más expresivos de tu bebé comienzan a aparecer: ¡las cejas!,"Aunque todavía no tiene mucho pelo, esos mechones son todo lo que necesita para esas caritas tan cucas que pronto te va a hacer.",https://www.dodot.es/embarazo/calendario-del-embarazo/embarazada-de-22-semanas?utm_source=newsletter_babyeducation&utm_medium=email&utm_campaign=trigger_babyeducation_week-22&utm_content=maincta _maincta,Ve qué más está pasando esta semana,be-post-week-22-es.jpg,,be-post-week-22-es-mob.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-17,Semana 23: Cuál es el sonido favorito de tu bebé,Ve lo que pasa en tu embarazo esta semana…,,https://www.dodot.es/?utm_source=newsletter_babyeducation&utm_medium=email&utm_campaign=trigger_babyeducation_week-23&utm_content=header_logo,be-title-pre-week-23-es.jpg,be-title-pre-week-23-es-mob.jpg,,Week_23_hero-es.jpg,Week_23_hero-es-mob.jpg,Tu voz es lo único que quiere escuchar,https://www.dodot.es/embarazo/calendario-del-embarazo/embarazada-de-23-semanas?utm_source=newsletter_babyeducation&utm_medium=email&utm_campaign=trigger_babyeducation_week-23&utm_content=maincta _maincta,"Sus oídos están completamente desarrollados, así que tus canciones y cuentos le llegan con claridad.","Mientas más leas, cantes y hables a tu bebé en la barriga, mejor podrá reconocer tu voz cuando nazca.",https://www.dodot.es/embarazo/calendario-del-embarazo/embarazada-de-23-semanas?utm_source=newsletter_babyeducation&utm_medium=email&utm_campaign=trigger_babyeducation_week-23&utm_content=maincta _maincta,Ve qué más está pasando esta semana,be-post-week-23-es.jpg,,be-post-week-23-es-mob.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-16,Semana 24: Cuando los retortijones pasan a ser los movimientos de tu bebé,Ve lo que pasa en tu embarazo esta semana…,,https://www.dodot.es/?utm_source=newsletter_babyeducation&utm_medium=email&utm_campaign=trigger_babyeducation_week-24&utm_content=header_logo,be-title-pre-week-24-es.jpg,be-title-pre-week-24-es-mob.jpg,La gimnasia parte de tu rutina nocturna,Week_24_hero-es.jpg,Week_24_hero-es-mob.jpg,¿Quién hubiera dicho que la gimnasia sería parte de tu rutina nocturna?,https://www.dodot.es/embarazo/calendario-del-embarazo/embarazada-de-24-semanas?utm_source=newsletter_babyeducation&utm_medium=email&utm_campaign=trigger_babyeducation_week-24&utm_content=maincta _maincta,"Tu bebé está a punto de volverse más activo, especialmente por la noche.","Si es que no te ha pasado ya, esta semana empezarás a notar pataditas y manotazos. ¡Pon mucha atención cuando te tumbes en la cama para dormir!",https://www.dodot.es/embarazo/calendario-del-embarazo/embarazada-de-24-semanas?utm_source=newsletter_babyeducation&utm_medium=email&utm_campaign=trigger_babyeducation_week-24&utm_content=maincta _maincta,Ve qué más está pasando esta semana,be-post-week-24-es.jpg,,be-post-week-24-es-mob.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
